,Stazione,Data inizio,Data fine,Strumento,PM2.5,Unità di misura,F1,F2,F3,F4
189,GIARDINI MARGHERITA,08/07/2010,09/07/2010,FAI SWAM 5A,10.0,ug/m3,,1,1,1
190,GIARDINI MARGHERITA,09/07/2010,10/07/2010,FAI SWAM 5A,16.0,ug/m3,,1,1,1
191,GIARDINI MARGHERITA,10/07/2010,11/07/2010,FAI SWAM 5A,17.0,ug/m3,,1,1,1
192,GIARDINI MARGHERITA,11/07/2010,12/07/2010,FAI SWAM 5A,18.0,ug/m3,,1,1,1
193,GIARDINI MARGHERITA,12/07/2010,13/07/2010,FAI SWAM 5A,20.0,ug/m3,,1,1,1
194,GIARDINI MARGHERITA,13/07/2010,14/07/2010,FAI SWAM 5A,17.0,ug/m3,,1,1,1
195,GIARDINI MARGHERITA,14/07/2010,15/07/2010,FAI SWAM 5A,17.0,ug/m3,,1,1,1
196,GIARDINI MARGHERITA,15/07/2010,16/07/2010,FAI SWAM 5A,16.0,ug/m3,,1,1,1
197,GIARDINI MARGHERITA,16/07/2010,17/07/2010,FAI SWAM 5A,19.0,ug/m3,,1,1,1
198,GIARDINI MARGHERITA,17/07/2010,18/07/2010,FAI SWAM 5A,16.0,ug/m3,,1,1,1
199,GIARDINI MARGHERITA,18/07/2010,19/07/2010,FAI SWAM 5A,8.0,ug/m3,,1,1,1
200,GIARDINI MARGHERITA,19/07/2010,20/07/2010,FAI SWAM 5A,7.0,ug/m3,,1,1,1
201,GIARDINI MARGHERITA,20/07/2010,21/07/2010,FAI SWAM 5A,11.0,ug/m3,,1,1,1
202,GIARDINI MARGHERITA,21/07/2010,22/07/2010,FAI SWAM 5A,16.0,ug/m3,,1,1,1
203,GIARDINI MARGHERITA,22/07/2010,23/07/2010,FAI SWAM 5A,16.0,ug/m3,,1,1,1
204,GIARDINI MARGHERITA,23/07/2010,24/07/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
205,GIARDINI MARGHERITA,24/07/2010,25/07/2010,FAI SWAM 5A,4.0,ug/m3,,1,1,1
206,GIARDINI MARGHERITA,25/07/2010,26/07/2010,FAI SWAM 5A,3.0,ug/m3,,1,1,1
207,GIARDINI MARGHERITA,26/07/2010,27/07/2010,FAI SWAM 5A,6.0,ug/m3,,1,1,1
208,GIARDINI MARGHERITA,27/07/2010,28/07/2010,FAI SWAM 5A,6.0,ug/m3,,1,1,1
209,GIARDINI MARGHERITA,28/07/2010,29/07/2010,FAI SWAM 5A,11.0,ug/m3,,1,1,1
210,GIARDINI MARGHERITA,29/07/2010,30/07/2010,FAI SWAM 5A,7.0,ug/m3,,1,1,1
211,GIARDINI MARGHERITA,30/07/2010,31/07/2010,FAI SWAM 5A,4.0,ug/m3,,1,1,1
212,GIARDINI MARGHERITA,31/07/2010,01/08/2010,FAI SWAM 5A,5.0,ug/m3,,1,1,1
213,GIARDINI MARGHERITA,01/08/2010,02/08/2010,FAI SWAM 5A,6.0,ug/m3,,1,1,1
